,target_return,achieved_return,variance,stdev,Stock_1,Stock_2,Stock_3,Stock_4,Stock_5,Stock_6,Stock_7,Stock_8,Stock_9,Stock_10,Stock_11,Stock_12,Stock_13,Stock_14,Stock_15,Stock_16,Stock_17,Stock_18,Stock_19,Stock_20,Stock_21,Stock_22,Stock_23,Stock_24,Stock_25,Stock_26,Stock_27,Stock_28,Stock_29,Stock_30,Stock_31,Stock_32,Stock_33,Stock_34,Stock_35,Stock_36,Stock_37,Stock_38,Stock_39,Stock_40,Stock_42,Stock_43,Stock_44,Stock_45,Stock_46,Stock_47,Stock_48,Stock_49,Stock_50,Stock_51,Stock_52,Stock_53,Stock_55,Stock_56,Stock_57,Stock_58,Stock_59,Stock_60,Stock_61,Stock_62,Stock_63,Stock_65,Stock_66,Stock_67,Stock_68,Stock_69,Stock_70,Stock_71,Stock_72,Stock_73,Stock_74,Stock_75,Stock_76,Stock_77,Stock_78,Stock_79,Stock_80,Stock_81,Stock_82,Stock_83,Stock_84,Stock_85,Stock_86,Stock_87,Stock_89,Stock_90,Stock_91,Stock_92,Stock_93,Stock_94,Stock_95,Stock_96,Stock_97,Stock_98,Stock_99,Stock_100
0,-0.0963,-0.09629745113419073,0.009049411255117412,0.09512839352747113,1.0999018963816027e-07,1.154926445499784e-07,1.2887466225082915e-07,1.3547222533442637e-07,1.3118047209953487e-07,1.276756026117655e-07,1.1340984769488503e-07,8.387817156902513e-08,1.9663855989566845e-07,1.3058655289774515e-07,9.601786880130647e-08,1.1331495779401127e-07,1.325837159713682e-07,1.0085826934650133e-07,1.2431241647795937e-07,1.3053040814134824e-07,9.169243269972721e-08,1.0984667694136167e-07,1.3103009714782574e-07,9.0721064977389e-08,1.108207741292331e-07,1.267353678172513e-07,1.9576847955024573e-06,1.2471008445965103e-07,1.1815433580522237e-07,1.1623450472763748e-07,1.2825299442180548e-07,1.1733866874440832e-07,1.3351582047583156e-07,1.1057856039695347e-07,8.518413137014238e-08,1.2576742879307918e-07,1.192860235572449e-07,1.3341876416117142e-07,1.1852426654152352e-07,1.4023834137583766e-07,1.212304440484821e-07,1.6819858068104088e-05,1.189257931071701e-07,1.1311574092824153e-07,1.1279159572089686e-07,1.2450706331136667e-07,1.0468390152302987e-07,1.2068345620294516e-07,1.1764974555144992e-07,1.2667627532639706e-07,1.2169825309605536e-07,1.1565314521319459e-07,1.1417927654206877e-07,1.8543473462963772e-06,1.3034629353162628e-07,1.0575547488904387e-07,1.1790596247267948e-07,1.9582675539012654e-06,1.3005485949786487e-07,1.242907361331292e-07,1.2478961801802035e-07,1.3701341260343844e-07,1.0964430755731056e-07,1.0361710648490253e-07,1.1081574059904662e-07,1.200246536969929e-07,8.250982087665884e-08,1.053610897622859e-07,1.0245109260299533e-07,1.305304695537497e-07,1.0955198104474967e-07,1.0969130828992635e-07,1.7137628796510123e-07,1.218485282466111e-07,9.855465219311856e-08,1.0936356429811922e-07,1.1464296216828146e-07,1.1872776307813906e-07,1.1592606083198072e-07,1.4168866470281544e-07,7.440946455914606e-07,5.479640355876957e-06,1.0552959647769863e-07,1.105532851192126e-07,1.1123270415400822e-07,1.258394394523076e-07,1.205198740923779e-07,8.733315818740023e-08,1.32212320496757e-07,1.2595284981267512e-07,1.1251037539292596e-07,8.10768151753637e-06,1.1821700167061549e-07,0.999978651988437,1.3129176435205823e-07,1.2824608584027933e-07,1.1902212179207803e-07,1.198695084306272e-07,1.3230888313778483e-07,1.1726537288100312e-07
1,-0.09262727272727272,-0.09262727096139818,0.008119692610448342,0.09010933697707658,6.986559208521032e-09,6.010822908963023e-09,1.0628371788625e-08,7.107458938499012e-09,1.1270292120622172e-08,1.2140323391409804e-08,7.513846829249458e-09,1.1222176758883892e-08,3.523020799678508e-08,1.1733087035087163e-08,4.893603615855984e-09,7.908848014098307e-09,1.1848579924798801e-08,1.2774818487491213e-08,9.618551256145239e-09,1.1869354587967337e-08,1.0473145796158071e-08,7.011728051986941e-09,1.1918258626470436e-08,1.21674387993072e-08,5.880581040371271e-09,1.0343176006573457e-08,5.905606698387552e-07,1.2208554915734066e-08,8.661024135106501e-09,8.401206595941177e-09,1.2007850471779083e-08,8.494460283050271e-09,1.1337611187113347e-08,7.306879849876422e-09,1.1504919077347204e-08,1.2348692580937436e-08,8.953488707716446e-09,1.1575377122444503e-08,8.597492079125601e-09,7.49114626415421e-09,1.265101449550355e-08,0.05313261324782777,1.1287737749791964e-08,7.889014781169065e-09,7.695178105669929e-09,1.2224858141156168e-08,6.324078718103246e-09,9.321421298869381e-09,8.778821588452385e-09,1.2162423830357647e-08,9.287766551467519e-09,8.158787699276396e-09,8.059374548977498e-09,5.702701191853503e-07,1.1215635394133813e-08,1.2512824901993763e-08,8.634061284378613e-09,6.602245702663377e-07,1.134166320347197e-08,9.814751545099724e-09,9.812027645968502e-09,7.142545455174294e-09,7.126366695176495e-09,7.773467962857661e-09,7.617755730210025e-09,1.0858223576425341e-08,1.0535134482790904e-08,1.2699983159940512e-08,1.2760892651407429e-08,1.0680914849440818e-08,7.008018121695094e-09,6.896057592049222e-09,3.708391089550473e-08,1.3029489387026563e-08,1.2706216896284946e-08,6.95660732472017e-09,8.352602977627224e-09,1.2643593682504152e-08,8.193560146061216e-09,7.51258345796863e-09,1.8363955736318618e-07,2.8359647727270627e-06,6.3700335206259265e-09,7.3669267448449985e-09,7.0229083901600844e-09,1.0068040933115444e-08,1.2512445951831701e-08,1.0531686521431051e-08,1.1316720894511564e-08,1.0212933014124839e-08,7.51692731927512e-09,7.91620789821531e-06,8.69922042358312e-09,0.9468537387764587,1.1610017587592941e-08,1.2082811211339663e-08,8.772686204044355e-09,1.2497170761112457e-08,1.1710718629771909e-08,1.124112267087538e-08
2,-0.08895454545454545,-0.0889545454390687,0.007247741282810633,0.08513366715237064,1.166116011947025e-10,9.661721578694171e-11,1.8978952388591332e-10,9.52080983675925e-11,2.0099305029752186e-10,2.299090900424182e-10,1.2794109493869257e-10,4.047875204794363e-10,5.193010541883632e-10,2.1015216816816975e-10,7.531591294003511e-11,1.3628118011020957e-10,2.0916001606392373e-10,3.216170107230482e-10,1.7074282563361191e-10,2.1612845055489807e-10,2.754453641453341e-10,1.184565798422948e-10,2.1854062162115719e-10,3.570512727053618e-10,9.433479596844898e-11,1.838162788113678e-10,5.1651577728185615e-09,2.4178332069378437e-10,1.5148030090054664e-10,1.4534877441583072e-10,2.2528891913355923e-10,1.4936873943831753e-10,2.0196186049530004e-10,1.2462788102512688e-10,3.501964510336056e-10,2.420119831082575e-10,1.563617917003388e-10,2.1019538817690168e-10,1.501485241368332e-10,1.0763589802345998e-10,2.587900301768012e-10,0.10630147336956806,2.823823249345025e-10,1.3471975678942904e-10,1.310110674667862e-10,2.471799416884056e-10,1.0473661886267467e-10,1.624797943667569e-10,1.5401667446525175e-10,2.3554434024423096e-10,1.6438205940505105e-10,1.4097693157132867e-10,1.3714708635982685e-10,4.6442642208947344e-09,1.9992540377148154e-10,2.870919070811713e-10,1.5074233819288904e-10,3.0737937455526117e-09,1.9988106130788102e-10,1.7333050664528327e-10,1.74677312870207e-10,9.921696508988064e-11,1.208627962715934e-10,9.99729421919888e-11,1.303217976467855e-10,2.7039359156673633e-10,4.3471944220056793e-10,2.959500108551991e-10,3.1088133510195737e-10,1.9190166930618233e-10,1.1844380072555716e-10,1.1361017517889232e-10,5.784385922819329e-10,2.583400498497854e-10,3.3028764611322407e-10,1.1629624573229247e-10,1.4411178325555862e-10,2.733139941781765e-10,1.4288787847120084e-10,1.0116375387327699e-10,1.0979574082287768e-09,3.277466971578799e-08,1.0818133525398434e-10,1.2494129561334105e-10,1.1864257285694617e-10,1.7935248168812642e-10,2.63031127513677e-10,2.8896160049405626e-10,2.0248185468233163e-10,1.797721499934007e-10,1.281298494998556e-10,1.8812946510761257e-07,1.529463476788386e-10,0.8936982743293659,2.051560771450387e-10,2.2858767319955746e-10,1.542302356631508e-10,2.617594003685507e-10,2.1166998639529714e-10,2.730891741651912e-10
3,-0.08528181818181818,-0.08528181816382993,0.00643417110296553,0.0802132850777571,3.5235637500080515e-10,3.063519225028208e-10,5.530942967713754e-10,3.375302192801559e-10,5.781290353706252e-10,5.978527073870546e-10,3.8116098802082027e-10,1.0384906575039683e-09,6.898938977260082e-09,5.813692306674124e-10,2.757269300113725e-10,4.0231098782998523e-10,5.859789591281252e-10,7.013670237791086e-10,4.965029653754684e-10,5.857916543000885e-10,5.478073266089436e-10,3.561812042385974e-10,5.952508326407656e-10,7.505654864446572e-10,2.9940451892746055e-10,5.371809904992764e-10,4.2030161527156263e-08,6.006455380479832e-10,4.426069137344091e-10,4.271773931988761e-10,5.910495802586244e-10,4.361166309075826e-10,5.642795155267615e-10,3.7122861067518326e-10,7.632104763861649e-10,6.134187625172847e-10,4.5804720904699184e-10,5.742921716052383e-10,4.3910303228619395e-10,3.655145930730164e-10,6.168738427949774e-10,0.1594512571019343,5.894431704239539e-10,4.0007990461069904e-10,3.889191787907765e-10,6.088597383790486e-10,3.2009407974435596e-10,4.763994547908113e-10,4.5079340410586534e-10,5.993643303278819e-10,4.786960940393411e-10,4.1457660508800923e-10,4.0697016724565816e-10,4.051247339898948e-08,5.833249815384011e-10,6.486338903228559e-10,4.41535784500719e-10,4.143665562631122e-08,5.866500350680158e-10,5.062516618944698e-10,5.086312427914127e-10,3.461189875874503e-10,3.6154891099599345e-10,3.6487140233405784e-10,3.8625191935725074e-10,5.468094747002462e-10,1.5083370495772297e-09,6.626267473738074e-10,6.8640690850602e-10,5.515136855743037e-10,3.5538620308713687e-10,3.48008013822519e-10,8.377460901457114e-09,5.652631442008277e-10,7.118802497672007e-10,3.5137026626583246e-10,4.251254818787996e-10,6.463245604765681e-10,4.187736281080134e-10,3.5919341925570807e-10,1.6998197504340494e-08,1.985685456752206e-07,3.245653545909492e-10,3.7265895717809707e-10,3.551079100444395e-10,5.227345715772227e-10,6.248228620029676e-10,5.863037459041121e-10,5.727817344998433e-10,5.27860569371297e-10,3.805878871729578e-10,7.127034513141695e-07,4.4564466110318866e-10,0.84054763138609,5.821623375174602e-10,5.961586898226577e-10,4.4983650503489277e-10,5.443698289139033e-10,5.815438519777219e-10,5.747751741512656e-10
4,-0.08160909090909091,-0.08160909090909087,0.0056789073955084346,0.07535852569887785,8.692738176988103e-10,2.881141591735304e-10,1.5077852918109801e-09,7.341317939205773e-10,1.634968583724832e-09,2.0521738862581858e-09,9.581105028870107e-10,4.920511606644277e-09,2.1329202953432948e-08,1.7830085203777743e-09,5.749407999726281e-10,1.0316420083001592e-09,1.7610838496253925e-09,3.1915778301677476e-09,1.3296508090016711e-09,1.8542011939838054e-09,2.6363013645986134e-09,8.80946436713653e-10,1.8611839010006404e-09,3.635954733427233e-09,3.079021023243796e-10,1.4554748748691574e-09,1.0577053209780282e-07,2.2488510116623976e-09,1.1586331185874278e-09,1.1113782119637057e-09,1.9910242791250853e-09,1.1366783296149723e-09,1.6625954182816707e-09,9.318830929674747e-10,3.842105735854393e-09,2.2402096793231924e-09,1.2074192607914952e-09,1.7479186011203209e-09,1.14653880458296e-09,7.99517977185385e-10,2.469999362189268e-09,0.21259969568962048,2.751494261219258e-09,1.026608604440839e-09,9.900801199852709e-10,2.2950500435641794e-09,8.632259963423778e-10,1.269547906309645e-09,1.1838412755771118e-09,2.1557909324186218e-09,1.272210359547785e-09,1.0701742159251011e-09,1.0480234731912514e-09,1.0253145467352951e-07,1.6162032693375526e-09,2.786828623877745e-09,1.1556686910391251e-09,1.0987189194661628e-07,1.631170814696516e-09,1.3596852311833252e-09,1.3646594586748192e-09,7.529561220222754e-10,9.017307609438971e-10,7.97669753027082e-10,9.839667047008526e-10,2.5993787188860246e-09,5.152797836904284e-09,2.8947996136062172e-09,3.073728793762209e-09,1.5309059638069096e-09,8.808335365368171e-10,9.527298030446386e-10,2.6185991204702837e-08,2.503632622291835e-09,3.3080269860269583e-09,8.671139022854259e-10,1.104891715707408e-09,2.6388796158597483e-09,1.0807215962672834e-09,7.845419870410275e-10,4.610159493608992e-08,5.078144040228036e-07,8.92197654030593e-10,9.379562151488079e-10,8.806613702112154e-10,1.4075088901374187e-09,2.509968629589138e-09,2.826755768739112e-09,1.6558185844639038e-09,1.425185479349799e-09,9.616955645789428e-10,1.9300788219724172e-06,1.1701402452221609e-09,0.7873973105016336,1.7071043976049517e-09,2.022903825895144e-09,1.1798200661341589e-09,2.525803673077876e-09,1.773094937843504e-09,2.6349769659724823e-09
5,-0.07793636363636364,-0.0779363636430148,0.004982012579829773,0.07058337325340701,7.167685093863212e-09,3.6520683718722863e-09,1.0905562849766989e-08,5.210757905005495e-09,1.1697370140874094e-08,1.4352699259096224e-08,7.112314772187308e-09,3.3761056918760304e-08,1.5401917854059044e-07,1.2586953017535376e-08,4.515209492965686e-09,7.618798685500739e-09,1.2448170145200202e-08,2.1579267986727527e-08,9.691819637331475e-09,1.3004961072247907e-08,1.787225629654583e-08,7.311047817832191e-09,1.3109671861639144e-08,2.4491882377018098e-08,3.680379845962869e-09,1.0542293893122703e-08,7.350295987054029e-07,1.5378597174317755e-08,8.502041821474676e-09,8.166709108872135e-09,1.3826044913773858e-08,8.366013504704639e-09,1.1816808553887997e-08,6.924334688555899e-09,2.6597788708331206e-08,1.5356374293735173e-08,8.834310684344994e-09,1.2380739535172982e-08,8.422363483217593e-09,2.788070308733478e-09,1.681368569264931e-08,0.26571317167471536,1.8743802476864086e-08,7.576231743920667e-09,7.321030539576259e-09,1.5725483745033156e-08,6.039135475807846e-09,9.251047137900398e-09,8.677830490498845e-09,1.4817915295276668e-08,9.295951636033957e-09,7.887258407023583e-09,7.713460862395649e-09,7.099810689907451e-07,1.1602163185624236e-08,1.890004077487768e-08,8.481784388177406e-09,7.330003161812662e-07,1.1681608432954557e-08,9.88285899257859e-09,9.931970060346263e-09,5.346117132412083e-09,7.614262890633123e-09,5.616216893746766e-09,7.2767647041223e-09,1.762871917704867e-08,5.0185500509668495e-08,1.960194511647757e-08,2.080183506668676e-08,1.1055661869741667e-08,7.3570306508324894e-09,6.649762727839272e-09,1.8511022831266906e-07,1.6935368044931892e-08,2.2269538255670137e-08,7.15720397436443e-09,8.117225323782673e-09,1.7919398076659583e-08,7.973932742044544e-09,5.546252006757473e-09,3.1389272169270676e-07,3.994045648035918e-06,6.2377804196780135e-09,6.958065662112869e-09,7.356182628284784e-09,1.0227286682543816e-08,1.7086314120212106e-08,1.913821038669581e-08,1.1808230149045647e-08,1.0327290304373061e-08,7.131234831492342e-09,2.491084796758889e-05,8.587377680319566e-09,0.734254060049905,1.211403635042171e-08,1.4181813676061674e-08,8.654937805511316e-09,1.7115265822065817e-08,1.2538210584424567e-08,1.781675739059545e-08
6,-0.07426363636363637,-0.07426363636363638,0.004343487354371274,0.06590513905888731,1.35659414043356e-08,8.405226347506596e-09,2.1220870147268967e-08,4.8791208255147225e-09,2.2814535860251654e-08,2.590467419920505e-08,1.551308718780143e-08,8.301166480266774e-08,4.4489775737399976e-07,2.404215640401707e-08,9.316220520080803e-09,1.4661571762507193e-08,2.392129895411132e-08,3.891854151198481e-08,1.8758443481233994e-08,2.462585030539615e-08,3.088963689021054e-08,1.3862483295610634e-08,2.497299243736466e-08,4.477446704673568e-08,8.389518984028757e-09,2.0493677976910935e-08,2.151465979710371e-06,2.7587411594307674e-08,1.6368195259250842e-08,1.5714548709605617e-08,2.5315995443716616e-08,1.613351211320019e-08,2.2657814469239607e-08,1.515111332712104e-08,4.168830986448331e-08,2.7638274873975464e-08,1.704190558897491e-08,2.3621941744266618e-08,1.62196155665571e-08,6.768336043497682e-09,3.0216298465107254e-08,0.3187491309645752,3.3074216144963136e-08,1.458349152419076e-08,1.4062376801056314e-08,2.8211469349866106e-08,1.1378979155992647e-08,1.7882144546881628e-08,1.6748184723550437e-08,2.6688006734255595e-08,1.7966989246129224e-08,1.517056903959598e-08,1.4822753100981684e-08,2.089780743185312e-06,2.2808861151598438e-08,3.380768127318741e-08,1.6341258797805626e-08,2.2122823725391136e-06,2.29617526809338e-08,1.9142367502700933e-08,1.9247820574113e-08,5.227682471101312e-09,1.4461925239159203e-08,1.055533332732828e-08,1.3982684631743078e-08,3.0550661881888176e-08,1.706288538755416e-07,3.510914679298698e-08,3.7448595468150074e-08,2.1429841912689495e-08,1.3946009648673413e-08,1.2601502244415e-08,5.520822320106609e-07,2.9851135521323163e-08,4.025434280375553e-08,1.3560365275152165e-08,1.563697784505014e-08,3.228469952811167e-08,1.5362282923487907e-08,4.9198458518784395e-09,8.988163120789584e-07,1.348928738525686e-05,1.1760877689167075e-08,1.5272391505038308e-08,1.3917643501014623e-08,1.9852783856320603e-08,3.068787837965864e-08,3.37328987776888e-08,2.2839988227353616e-08,2.0062496994453457e-08,1.5748333682814018e-08,0.00010316003799099895,1.6551773195514102e-08,0.6811238613157431,2.341740883640872e-08,2.5676737877618696e-08,1.6680031497089194e-08,2.9794117261055405e-08,2.3960431196350958e-08,3.1337053484093377e-08
7,-0.07059090909090909,-0.07059090909090905,0.003762909613745449,0.06134255956304276,7.385096124789196e-11,6.043612270317323e-11,7.316286517180916e-11,4.480360592477213e-11,8.129877825734765e-11,1.6353491052810303e-10,8.483818652487227e-11,8.0114840663012e-10,2.938510874051333e-09,1.4690016295139352e-10,5.114207943756604e-11,9.466670524558222e-11,1.451515220049359e-10,2.5764674830126595e-10,6.436265123802177e-11,1.503388015970874e-10,1.994700114957971e-10,7.583260360326796e-11,1.5298721899498913e-10,2.9725899815080047e-10,5.927101604135258e-11,7.108051749173523e-11,1.488877786792068e-08,1.7428643572514723e-10,5.5579949700611813e-11,5.31215191235137e-11,1.5927386306186057e-10,5.453830190968166e-11,7.24479119464512e-11,8.282302185942689e-11,5.050343452241408e-10,1.7563940789475264e-10,5.837594993456289e-11,1.4429072809181083e-10,5.493898295623455e-11,5.732249249557629e-11,1.9294249940957536e-10,0.37205484393764215,2.1725668091354388e-10,9.403885522112832e-11,8.929936241856541e-11,1.8027080399207216e-10,3.937199410464806e-11,6.131092411280242e-11,5.745668214012182e-11,1.6869144815435637e-10,6.1790656798357e-11,9.872557771695699e-11,9.557833690611811e-11,1.4441655370526341e-08,7.737500100050975e-11,2.1851894907197104e-10,5.5580301950155243e-11,1.4781796865054295e-08,7.775030870159651e-11,6.611545359051308e-11,6.649707476265999e-11,4.7849878353594886e-11,7.9024752259203e-11,4.233696647581192e-11,8.932886300283399e-11,1.980829397881827e-10,1.3249756474226011e-09,2.2794641130827688e-10,2.4535698648935914e-10,7.188801520395647e-11,7.616065864892032e-11,4.113620538544267e-11,3.652723413341266e-09,1.9038355340465163e-10,2.63986189923723e-10,7.397128494601792e-11,5.298171378200989e-11,2.0718676979752797e-10,1.0032492990371758e-10,4.725613573371039e-11,5.7462017393496406e-09,1.104841488251267e-07,3.7623298216979865e-11,8.322955740374066e-11,7.590018119104257e-11,6.855159620150208e-11,1.9630413597324763e-10,2.1946164068456584e-10,7.717033585342333e-11,6.932753755235438e-11,8.589956464450663e-11,1.0279741153388635e-06,5.637096466938205e-11,0.6279439492544127,7.671464967623207e-11,1.6222562382303078e-10,5.6800361298556103e-11,1.916531347107348e-10,1.4656095592030313e-10,2.0061645912139732e-10
8,-0.06691818181818182,-0.06691818181818183,0.0032408644156295013,0.05692859049396447,2.1152293157288573e-10,2.474345880037355e-10,3.716400414307796e-10,2.0991102541487416e-10,4.0136707542088493e-10,3.9602733464362386e-10,2.0873509230421467e-10,4.419345870433174e-09,1.2524940200134968e-08,3.549707347387215e-10,1.7171710638841245e-10,1.8973653456273018e-10,3.676224447629706e-10,1.0227254474237969e-09,4.238498146521342e-10,3.799314138913953e-10,7.801354941792421e-10,2.1288135928548392e-10,3.693931383450089e-10,1.2759496387096321e-09,2.4042639015948664e-10,3.5694360015054327e-10,6.384373672876806e-08,6.537818467947193e-10,3.5897968173826604e-10,3.4055435633586824e-10,3.918349678251936e-10,3.535754834306324e-10,3.437020257748393e-10,2.0134266500796185e-10,2.986673393698853e-09,4.061159384840546e-10,3.768567463781538e-10,3.6155646313317496e-10,3.5428612493006356e-10,2.579363232115277e-10,7.347506872037653e-10,0.4251808460981864,8.533801942976483e-10,1.8879651910009555e-10,1.9277857173156517e-10,6.789953957788816e-10,2.1190530178929103e-10,3.9977479881194823e-10,3.6983891903486777e-10,4.0014931156321723e-10,4.029457958994933e-10,3.250068694291269e-10,3.146023465370593e-10,6.23954676850686e-08,4.0083565018613166e-10,8.48248071741846e-10,3.58557968280358e-10,6.694588892237289e-08,4.0303348894486624e-10,3.3005342125768557e-10,4.3591231848927496e-10,2.2273226962106452e-10,2.045447887653732e-10,2.115648845398661e-10,1.8748165205003725e-10,7.735961701441379e-10,6.555600758697523e-09,8.892729745460378e-10,9.672747324803696e-10,3.7539346580504145e-10,2.0793450347992724e-10,2.2878938812730193e-10,1.62657512958213e-08,7.362778369628237e-10,1.033912334971626e-09,2.1081134699438262e-10,3.388987580822467e-10,7.953988221940131e-10,3.304638367513328e-10,2.2487870922539622e-10,2.3847687834792017e-08,6.482965723821695e-07,2.11598590176982e-10,1.9961295406724377e-10,2.073914821174277e-10,3.443354133886766e-10,7.478286369482483e-10,8.683955228518209e-10,4.0238019953855034e-10,3.4806552540992656e-10,2.0008253940613988e-10,2.129004502320845e-05,3.65792600702033e-10,0.574796920483023,3.5593988026043223e-10,3.9671646381234785e-10,3.674978487973389e-10,7.44765717581556e-10,3.670469240049759e-10,7.824162367118409e-10
9,-0.06324545454545455,-0.06324545454545454,0.0027773271784071593,0.05270035273513034,2.551049276878209e-09,2.2556899784977023e-09,3.91383368667539e-09,2.1229355625329778e-09,4.76794606482356e-09,5.773230923601227e-09,2.7577000933120885e-09,4.0750618530037546e-08,9.649161141934908e-08,5.135957022739609e-09,1.5820182972012623e-09,2.8854480978688862e-09,5.0774004162165665e-09,1.0003263045287028e-08,3.510683635066498e-09,5.2953786435615946e-09,7.265173475572893e-09,2.586214992934746e-09,5.347719571388907e-09,1.86612613276945e-08,2.197426132947578e-09,3.774026628588e-09,5.794328302299455e-07,6.147615064126816e-09,3.1337913653315468e-09,3.0356118483894903e-09,5.622174725149318e-09,3.1130575118394093e-09,4.770033747567532e-09,2.680323652681001e-09,2.751159232951431e-08,6.163676611549732e-09,3.237167755998149e-09,5.028756902920684e-09,3.1212792534935865e-09,2.487354313046279e-09,6.813615579413765e-09,0.4765474100099923,7.362685360555224e-09,2.8718741330658522e-09,2.7891368593834053e-09,6.330808629166541e-09,2.307181407307615e-09,3.370797605659463e-09,3.1881616655766427e-09,5.944122409842168e-09,3.3750104680582557e-09,2.9616495942711368e-09,2.8979203491781935e-09,5.720446848837303e-07,4.743271037546835e-09,7.838736782345534e-09,3.130473576086825e-09,6.659473408449925e-07,4.780510765440028e-09,3.5539102664062062e-09,3.5748975698112935e-09,2.219431719310573e-09,2.6132947327670705e-09,2.2147106059253932e-09,2.7605765869406062e-09,7.16342148071522e-09,5.735449516275682e-08,8.24717079615569e-09,7.709807237633236e-09,3.934740974987119e-09,2.569760764181669e-09,2.540141769109837e-09,1.373735858590616e-07,6.867452552104522e-09,1.1882771602962645e-08,2.548513465444696e-09,3.021685469281883e-09,7.369941725567407e-09,3.0054130716207207e-09,2.2735705199321293e-09,1.8558736246875404e-07,1.1760413215799884e-05,2.3430732632323595e-09,2.6865982403325496e-09,2.5668077370921607e-09,3.6803000409634334e-09,6.936472762901236e-09,8.736915736151242e-09,4.791805731759348e-09,3.72061894656112e-09,2.7429163559971744e-09,0.0015223520863553233,3.154761156422035e-09,0.5219157381973387,4.93666916390117e-09,5.713538440411167e-09,3.1866788719949923e-09,6.894828067695265e-09,5.108624493530214e-09,6.815998454480285e-09
