asset,weight
ABBV,0.03826885522248262
AMZN,0.008224033469781926
ATO,9.557911725807428e-05
CAT,0.04068878331679263
CVX,9.400239464807638e-05
DTE,9.481503385978507e-05
FTV,9.37170827189033e-05
GD,9.566971261468563e-05
GE,9.361035393410766e-05
HCA,0.027201968422793238
JPM,9.827371451070528e-05
LLY,0.3187253275440515
LMT,9.50161007498859e-05
META,9.843094975522107e-05
MMM,9.365301290599319e-05
MO,9.382082524883524e-05
NRG,0.0744746416956609
PCAR,9.713930290451529e-05
PG,9.558373252509204e-05
PH,9.922390000862227e-05
PSX,9.443975070487219e-05
PWR,0.23427763433191215
SHW,9.716033990459687e-05
SO,9.525698994487612e-05
STLD,9.884441477984958e-05
TDG,0.012417524342252642
TSN,9.266652062777337e-05
WFC,9.446401907148476e-05
WMT,0.24371622629988318
XOM,9.364527436588177e-05
