asset,weight
ABBV,0.049989161182254514
AMZN,0.07965939628287938
ATO,0.035653500928343344
CAT,0.04287464318142619
CVX,0.0
DTE,6.155015302368075e-06
FTV,0.0
GD,5.106328542217339e-06
GE,0.0
HCA,1.0455381456838407e-05
JPM,0.06809116720792682
LLY,0.200000386518447
LMT,7.254293865645748e-06
META,7.099007476780695e-06
MMM,0.0
MO,7.856012071486816e-06
NRG,0.11506380289891006
PCAR,9.289680332874287e-06
PG,0.001483306779792555
PH,4.347789928273952e-06
PSX,0.0
PWR,0.2000000524338194
SHW,8.489941432204957e-06
SO,1.2335160839938412e-05
STLD,7.779215757617169e-06
TDG,0.0070985118547846095
TSN,0.0
WFC,0.0
WMT,0.2000005935624501
XOM,0.0
