asset,weight
ABBV,0.049974154358936825
AMZN,0.08263316993392203
ATO,0.0037431409650607365
CAT,0.046804644728890614
CVX,0.0
DTE,5.8886720211956435e-06
FTV,0.0
GD,5.8276717116492445e-06
GE,0.0
HCA,2.0961629991243554e-05
JPM,0.08228357294671773
LLY,0.2000034116243132
LMT,8.976251751145253e-06
META,6.295549268607033e-06
MMM,0.0
MO,5.26924802342353e-06
NRG,0.13129812278186787
PCAR,1.1065053356841552e-05
PG,1.0738758802813932e-05
PH,7.473601522586373e-06
PSX,0.0
PWR,0.2000023474312171
SHW,8.289042761574622e-06
SO,1.0553541847731423e-05
STLD,7.1270574052102915e-06
TDG,0.0031613203145401184
TSN,0.0
WFC,0.0
WMT,0.1999993205579947
XOM,0.0
