Portfolio,annual_return,volatility,sharpe,sortino,max_drawdown,calmar,ES_95,rachev_95
Tangency,0.26141704150146294,0.18885948302344766,1.2240690157600473,1.6048027072950104,-0.2724674930755015,0.9594430460334714,-3.2201659214742433,1.0269788406878122
Tangency ESG,0.2459882742704761,0.18305432519321765,1.1786024397006152,1.4990310074302025,-0.29223346529605854,0.8417525830632301,-3.1833616461260363,0.976854741336339
Tangency Brown,0.25056025747950617,0.18683299689488905,1.1792363294555341,1.502511319038396,-0.29494941245605577,0.8495024804188647,-3.251156610071476,0.9721776676835636
