,Portfolio,annual_return,volatility,sharpe,sortino,max_drawdown,calmar,ES_95,rachev_95
0,Tangency,0.31790178981099504,0.20973246915129423,1.3715653612197027,1.7990146504204707,-0.27073700122145455,1.1742088756865603,-3.6154274300954965,1.0041151433379236
1,Tangency ESG,0.26708781616578375,0.20304793708435226,1.1664625583829005,1.4530764427802112,-0.3431337440580889,0.7783781711674752,-3.589437083532897,0.9341225216350668
2,Tangency Brown,0.306341445023802,0.20231596429868334,1.3647041941593279,1.759740353194901,-0.27569343406772995,1.111166996267828,-3.522381417942085,0.9796328151509356
