asset,weight
ABBV,0.0499909285865964
ABT,0.0
AME,0.0
AMZN,0.04432937537798466
ATO,0.06186067284388913
BAC,0.0
CAT,0.02412257762077645
COST,0.05273130048400427
CVX,0.0
DOV,0.0
DPZ,0.013708201262602367
EMR,0.0
ETR,0.0
FAST,0.0
FTV,0.0
GD,0.0
GE,0.0
GOOGL,0.02110698554880788
GS,0.0
HCA,9.766787538902716e-06
JPM,2.5183161938182793e-05
LLY,0.20000024397746666
LMT,0.0
MCD,8.95212657668172e-06
META,6.767846478312997e-06
MLM,0.0
MMM,0.0
MNST,0.0
MPC,1.026090413914637e-06
MS,0.0
NOC,0.0
NRG,0.13254529012487262
NUE,0.0
PCAR,0.0
PG,3.888065609316574e-06
PH,0.0
PSX,0.0
PWR,0.20000023364603098
RJF,0.0
RMD,0.0
SHW,0.0
SNA,0.0
SO,9.404106811645573e-06
STLD,0.016516921537255043
SYK,0.0
TDG,0.025885272301260302
TMUS,9.944002128578348e-06
TRGP,0.0
VLO,2.0882522961072506e-06
WFC,0.0
WMT,0.1571287317716827
XOM,4.040364871634967e-06
