asset,weight
ABBV,0.04998501833171745
ABT,0.0
AME,0.0
AMZN,4.496866375902186e-06
ATO,0.0
BAC,1.2690782880852683e-06
CAT,0.05015122853720362
COST,0.10488960958817757
CVX,0.0
DOV,0.0
DPZ,0.01848797231366769
EMR,0.0
ETR,3.988490528527308e-06
FAST,0.0
FTV,0.0
GD,0.0
GE,0.0
GOOGL,0.09565677775482359
GS,6.309615333608335e-06
HCA,1.0164906233689278e-05
JPM,1.2470049890867388e-05
LLY,0.20001516126718127
LMT,0.0
MCD,0.008325074741100634
META,0.0
MLM,0.0
MMM,0.0
MNST,0.0
MPC,4.4289231216581806e-06
MS,8.643298680324812e-06
NOC,0.0
NRG,0.07031145845362413
NUE,0.0
PCAR,0.0
PG,0.0
PH,1.8307446507633934e-06
PSX,0.0
PWR,0.20000306112802638
RJF,1.0718557025609394e-06
RMD,0.0
SHW,0.0
SNA,0.0
SO,0.0
STLD,6.74181758181838e-06
SYK,0.0
TDG,5.68498270980673e-06
TMUS,0.057150993714210035
TRGP,0.0
VLO,3.4031060552575087e-06
WFC,0.0
WMT,0.1451443692020496
XOM,0.0
