asset,weight
ABBV,0.028700789653513623
ABT,9.98372514385054e-05
AME,9.976332070680667e-05
AMZN,9.993184289644322e-05
ATO,9.973050349260424e-05
BAC,9.974432710933455e-05
CAT,0.02970466750629346
COST,0.1389553832209476
CVX,9.954338641159969e-05
DOV,9.969370594902237e-05
DPZ,9.981805171975147e-05
EMR,9.961986945810692e-05
ETR,9.97706649223093e-05
FAST,9.980501553266474e-05
FTV,9.951203213966042e-05
GD,9.967779211684084e-05
GE,9.95042354386824e-05
GOOGL,0.0712405947001718
GS,9.981941650015407e-05
HCA,0.01084826063446958
JPM,9.981971705629104e-05
LLY,0.28446517338577626
LMT,9.965805943483829e-05
MCD,9.978894098711853e-05
META,9.985489513184619e-05
MLM,9.966504621897177e-05
MMM,9.952677939073507e-05
MNST,9.976249626150575e-05
MPC,9.975648479171765e-05
MS,9.986648117905937e-05
NOC,9.971691809510639e-05
NRG,0.0644379466039395
NUE,9.966722784102366e-05
PCAR,9.975627224593467e-05
PG,9.97303105944754e-05
PH,9.985446218748125e-05
PSX,9.954119733155323e-05
PWR,0.20585384383576047
RJF,9.977016905959613e-05
RMD,9.984726457339753e-05
SHW,9.978533721442315e-05
SNA,9.96244028290219e-05
SO,9.971649834665857e-05
STLD,9.982565394892393e-05
SYK,9.976411672071269e-05
TDG,9.989107344183655e-05
TMUS,0.0070778705644661795
TRGP,9.97302003030334e-05
VLO,9.96958473108014e-05
WFC,9.955721123579284e-05
WMT,0.15452700133339464
XOM,9.952455094640474e-05
